ct 22 17:27:04 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:27:04,092 - apscheduler.scheduler - INFO - Added job "check_expired_freezes_job" to job store "default"
Oct 22 17:28:07 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:07,025 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:07 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:07,332 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:08 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:08,392 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:08 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:08,696 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:09 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:09,593 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:09 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:09,958 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:11 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:11,024 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:11 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:11,312 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:11 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:11,618 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/editMessageText "HTTP/1.1 200 OK"
Oct 22 17:28:12 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:12,331 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:13 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:13,013 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/editMessageText "HTTP/1.1 200 OK"
Oct 22 17:28:15 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:15,905 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:16 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:16,199 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:17 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:17,121 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:17 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:17,422 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:18 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:18,132 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:18 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:18,428 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:19 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:19,144 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:19 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:19,438 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:20 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:20,084 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:20 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:20,468 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:21 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:21,267 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:21 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:21,946 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:22 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:22,312 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:22 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:22,599 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:22 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:22,970 - handlers.real_handlers - INFO - Routing user 6733908384 to real main menu
Oct 22 17:28:23 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:23,257 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:23 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:23,813 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/editMessageText "HTTP/1.1 200 OK"
Oct 22 17:28:32 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:32,341 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:35 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:35,264 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:36 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:36,014 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/editMessageText "HTTP/1.1 200 OK"
Oct 22 17:28:41 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:41,268 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:41 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:41,616 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:44 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:44,919 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:45 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:45,214 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:47 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:47,030 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:47 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:47,323 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:48 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:48,228 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
